datetime,count,price,unit,value,cash,posi_value,posi_price
2023-03-15 15:26:00,80,1.0538,1,1186.59,1030.59,-7800,1.0674
2023-03-15 16:17:00,81,1.0562,-1,1168.63,1024.63,-7200,1.0674
2023-03-15 16:46:00,82,1.0539,1,1186.61,1030.61,-7800,1.0665
2023-03-15 17:50:00,83,1.0519,1,1200.62,1056.62,-7200,1.0665
2023-03-15 18:28:00,84,1.0542,-1,1185.03,1053.03,-6600,1.0665
2023-03-15 19:34:00,85,1.0561,-1,1171.50,1027.50,-7200,1.0655
2023-03-15 20:28:00,86,1.0588,-1,1150.40,994.40,-7800,1.0647
2023-03-16 06:07:00,87,1.0600,-1,1138.98,970.98,-8400,1.0642
2023-03-16 09:47:00,88,1.0621,-1,1120.49,940.49,-9000,1.0639
2023-03-16 14:43:00,89,1.0577,2,1162.16,970.16,-9600,1.0638
2023-03-16 14:53:00,90,1.0601,-1,1140.53,972.53,-8400,1.0638
2023-03-16 15:21:00,91,1.0577,1,1162.38,982.38,-9000,1.0635
2023-03-16 15:22:00,92,1.0559,1,1177.28,1009.28,-8400,1.0635
2023-03-16 15:30:00,93,1.0582,-1,1158.87,1002.87,-7800,1.0635
2023-03-16 15:52:00,94,1.0607,-1,1136.84,968.84,-8400,1.0630
2023-03-16 16:25:00,95,1.0576,1,1165.35,985.35,-9000,1.0629
2023-03-16 16:51:00,96,1.0603,-1,1141.94,973.94,-8400,1.0629
2023-03-16 17:53:00,97,1.0624,-1,1123.43,943.43,-9000,1.0627
2023-03-16 19:55:00,98,1.0597,1,1148.49,956.49,-9600,1.0626
2023-03-17 03:10:00,99,1.0620,-1,1127.76,947.76,-9000,1.0626
2023-03-17 05:23:00,100,1.0640,-1,1108.84,916.84,-9600,1.0626
2023-03-17 08:56:00,101,1.0660,-1,1088.33,884.33,-10200,1.0627
2023-03-17 12:07:00,102,1.0637,1,1112.90,896.90,-10800,1.0629
2023-03-17 13:29:00,103,1.0617,1,1133.58,929.58,-10200,1.0629
2023-03-17 16:00:00,104,1.0642,-1,1109.61,917.61,-9600,1.0629
2023-03-17 18:18:00,105,1.0661,-1,1090.32,886.32,-10200,1.0629
2023-03-17 20:54:00,106,1.0681,-1,1067.94,851.94,-10800,1.0631
2023-03-17 22:25:00,107,1.0659,1,1093.00,865.00,-11400,1.0633
2023-03-20 00:01:00,108,1.0683,-1,1067.42,851.42,-10800,1.0633
2023-03-20 08:40:00,109,1.0660,1,1093.71,865.71,-11400,1.0636
2023-03-20 10:19:00,110,1.0637,1,1118.63,902.63,-10800,1.0636
2023-03-20 10:59:00,111,1.0661,-1,1093.29,889.29,-10200,1.0636
2023-03-20 12:07:00,112,1.0682,-1,1070.79,854.79,-10800,1.0637
2023-03-20 13:54:00,113,1.0700,-1,1050.12,822.12,-11400,1.0640
2023-03-20 15:21:00,114,1.0721,-1,1024.89,784.89,-12000,1.0643
2023-03-21 11:49:00,115,1.0740,-1,1000.35,748.35,-12600,1.0646
2023-03-21 12:58:00,116,1.0764,-1,968.81,704.81,-13200,1.0650
2023-03-21 13:32:00,117,1.0780,-1,947.03,671.03,-13800,1.0655
2023-03-21 20:18:00,118,1.0760,1,975.75,687.75,-14400,1.0660
2023-03-22 10:40:00,119,1.0782,-1,945.37,669.37,-13800,1.0660
2023-03-22 20:00:00,120,1.0834,-2,870.33,582.33,-14400,1.0665
2023-03-22 20:04:00,121,1.0854,-1,838.95,526.95,-15600,1.0678
2023-03-22 20:37:00,122,1.0866,-1,818.64,494.64,-16200,1.0684
2023-03-22 20:41:00,123,1.0882,-1,792.36,456.36,-16800,1.0691
2023-03-22 20:47:00,124,1.0905,-1,751.94,403.94,-17400,1.0697
2023-03-22 21:00:00,125,1.0878,1,799.75,439.75,-18000,1.0704
2023-03-22 21:04:00,126,1.0857,1,837.58,489.58,-17400,1.0704
2023-03-22 21:18:00,127,1.0885,-1,789.00,453.00,-16800,1.0704
2023-03-22 22:18:00,128,1.0858,1,835.25,487.25,-17400,1.0710
2023-03-23 02:56:00,129,1.0880,-1,798.12,462.12,-16800,1.0710
2023-03-23 05:10:00,130,1.0900,-1,763.28,415.28,-17400,1.0716
2023-03-23 08:27:00,131,1.0920,-1,727.98,367.98,-18000,1.0722
2023-03-23 10:22:00,132,1.0900,1,765.92,393.92,-18600,1.0729
2023-03-23 12:07:00,133,1.0878,1,803.89,443.89,-18000,1.0729
2023-03-23 17:16:00,134,1.0902,-1,762.32,414.32,-17400,1.0729
2023-03-23 19:13:00,135,1.0880,1,802.97,442.97,-18000,1.0734
2023-03-23 20:42:00,136,1.0858,1,840.40,492.40,-17400,1.0734
2023-03-23 20:54:00,137,1.0838,1,874.50,538.50,-16800,1.0734
2023-03-24 05:00:00,138,1.0820,1,904.14,580.14,-16200,1.0734
2023-03-24 10:09:00,139,1.0791,1,949.06,637.06,-15600,1.0734
2023-03-24 10:18:00,140,1.0775,1,973.33,673.33,-15000,1.0734
2023-03-24 11:44:00,141,1.0760,1,994.64,706.64,-14400,1.0734
2023-03-24 11:46:00,142,1.0732,1,1033.57,757.57,-13800,1.0734
2023-03-24 13:02:00,143,1.0718,1,1050.35,786.35,-13200,1.0734
2023-03-24 13:21:00,144,1.0742,-1,1020.39,768.39,-12600,1.0734
2023-03-24 15:29:00,145,1.0763,-1,992.25,728.25,-13200,1.0735
2023-03-27 16:20:00,146,1.0781,-1,967.62,691.62,-13800,1.0736
2023-03-27 23:24:00,147,1.0800,-1,940.23,652.23,-14400,1.0738
2023-03-28 10:25:00,148,1.0820,-1,909.93,609.93,-15000,1.0740
2023-03-28 15:10:00,149,1.0841,-1,877.51,565.51,-15600,1.0743
2023-03-28 17:06:00,150,1.0819,1,912.50,588.50,-16200,1.0747
2023-03-28 18:22:00,151,1.0842,-1,876.47,564.47,-15600,1.0747
2023-03-29 12:58:00,152,1.0862,-1,843.86,519.86,-16200,1.0750
2023-03-29 15:18:00,153,1.0840,1,881.99,545.99,-16800,1.0754
2023-03-30 11:04:00,154,1.0861,-1,847.37,523.37,-16200,1.0754
2023-03-30 13:42:00,155,1.0881,-1,813.97,477.97,-16800,1.0758
2023-03-30 15:33:00,156,1.0901,-1,778.98,430.98,-17400,1.0762
2023-03-30 16:25:00,157,1.0921,-1,743.14,383.14,-18000,1.0767
2023-03-30 18:31:00,158,1.0897,1,787.97,415.97,-18600,1.0772
2023-03-31 04:22:00,159,1.0923,-1,740.72,380.72,-18000,1.0772
2023-03-31 08:23:00,160,1.0899,1,784.38,412.38,-18600,1.0777
2023-03-31 11:18:00,161,1.0876,1,827.40,467.40,-18000,1.0777
2023-03-31 17:11:00,162,1.0901,-1,782.31,434.31,-17400,1.0777
2023-03-31 17:35:00,163,1.0878,1,823.74,463.74,-18000,1.0781
2023-03-31 18:09:00,164,1.0860,1,855.32,507.32,-17400,1.0781
2023-03-31 23:26:00,165,1.0840,1,889.05,553.05,-16800,1.0781
2023-04-03 01:34:00,166,1.0807,1,941.87,617.87,-16200,1.0781
2023-04-03 05:51:00,167,1.0800,1,952.58,640.58,-15600,1.0781
2023-04-03 10:08:00,168,1.0820,-1,921.90,621.90,-15000,1.0781
2023-04-03 11:51:00,169,1.0847,-1,880.72,568.72,-15600,1.0782
2023-04-03 13:16:00,170,1.0860,-1,858.68,534.68,-16200,1.0785
2023-04-03 16:39:00,171,1.0882,-1,822.33,486.33,-16800,1.0787
2023-04-03 17:19:00,172,1.0901,-1,789.78,441.78,-17400,1.0790
2023-04-03 18:11:00,173,1.0879,1,828.39,468.39,-18000,1.0794
2023-04-03 21:35:00,174,1.0900,-1,791.49,443.49,-17400,1.0794
2023-04-04 10:50:00,175,1.0923,-1,750.32,390.32,-18000,1.0798
2023-04-04 14:59:00,176,1.0898,1,797.72,425.72,-18600,1.0802
2023-04-04 17:00:00,177,1.0928,-1,742.70,382.70,-18000,1.0802
2023-04-04 17:09:00,178,1.0940,-1,719.67,347.67,-18600,1.0806
2023-04-04 17:33:00,179,1.0963,-1,675.51,291.51,-19200,1.0810
2023-04-05 14:06:00,180,1.0940,1,722.09,326.09,-19800,1.0814
2023-04-05 15:37:00,181,1.0960,-1,683.10,299.10,-19200,1.0814
2023-04-05 16:39:00,182,1.0940,1,722.65,326.65,-19800,1.0819
2023-04-05 17:01:00,183,1.0961,-1,683.05,299.05,-19200,1.0819
2023-04-05 17:09:00,184,1.0937,1,728.97,332.97,-19800,1.0823
2023-04-05 17:44:00,185,1.0914,1,773.33,389.33,-19200,1.0823
2023-04-05 19:47:00,186,1.0899,1,801.30,429.30,-18600,1.0823
2023-04-06 17:55:00,187,1.0920,-1,763.32,403.32,-18000,1.0823
2023-04-07 15:33:00,188,1.0896,1,808.11,436.11,-18600,1.0826
2023-04-10 15:06:00,189,1.0875,1,845.79,485.79,-18000,1.0826
2023-04-10 15:17:00,190,1.0859,1,874.31,526.31,-17400,1.0826
2023-04-10 16:59:00,191,1.0838,1,908.46,572.46,-16800,1.0826
2023-04-10 22:39:00,192,1.0860,-1,872.82,548.82,-16200,1.0826
2023-04-11 05:03:00,193,1.0880,-1,839.69,503.69,-16800,1.0827
2023-04-11 10:24:00,194,1.0901,-1,802.43,454.43,-17400,1.0829
2023-04-11 13:54:00,195,1.0921,-1,766.37,406.37,-18000,1.0831
2023-04-11 19:21:00,196,1.0899,1,807.11,435.11,-18600,1.0834
2023-04-12 03:37:00,197,1.0921,-1,768.18,408.18,-18000,1.0834
2023-04-12 15:30:00,198,1.0967,-2,683.49,311.49,-18600,1.0837
2023-04-12 15:32:00,199,1.0984,-1,648.60,252.60,-19800,1.0845
2023-04-12 21:18:00,200,1.1000,-1,615.56,207.56,-20400,1.0849
2023-04-13 09:58:00,201,1.0979,1,658.98,238.98,-21000,1.0853
2023-04-13 10:36:00,202,1.1000,-1,616.02,208.02,-20400,1.0853
2023-04-14 18:48:00,203,1.0978,1,662.36,242.36,-21000,1.0857
2023-04-17 15:45:00,204,1.0960,1,699.60,291.60,-20400,1.0857
2023-04-17 16:46:00,205,1.0937,1,744.93,348.93,-19800,1.0857
2023-04-17 17:36:00,206,1.0920,1,778.54,394.54,-19200,1.0857
2023-04-18 08:34:00,207,1.0940,-1,740.21,368.21,-18600,1.0857
2023-04-18 10:23:00,208,1.0960,-1,701.94,317.94,-19200,1.0860
2023-04-18 11:54:00,209,1.0981,-1,660.83,264.83,-19800,1.0863
2023-04-18 15:51:00,210,1.0959,1,705.65,297.65,-20400,1.0866
2023-04-19 03:51:00,211,1.0981,-1,661.57,265.57,-19800,1.0866
2023-04-19 09:12:00,212,1.0957,1,711.55,303.55,-20400,1.0870
2023-04-19 12:31:00,213,1.0937,1,749.18,353.18,-19800,1.0870
2023-04-19 14:29:00,214,1.0920,1,782.98,398.98,-19200,1.0870
2023-04-19 15:28:00,215,1.0942,-1,742.20,370.20,-18600,1.0870
2023-04-19 16:54:00,216,1.0961,-1,705.51,321.51,-19200,1.0872
2023-04-20 15:12:00,217,1.0939,1,748.67,352.67,-19800,1.0875
2023-04-20 15:32:00,218,1.0961,-1,705.44,321.44,-19200,1.0875
2023-04-20 15:57:00,219,1.0982,-1,663.58,267.58,-19800,1.0877
2023-04-20 21:43:00,220,1.0960,1,710.16,302.16,-20400,1.0880
2023-04-21 09:56:00,221,1.0939,1,750.11,354.11,-19800,1.0880
2023-04-21 11:01:00,222,1.0961,-1,708.73,324.73,-19200,1.0880
2023-04-21 14:25:00,223,1.0980,-1,670.08,274.08,-19800,1.0883
2023-04-21 16:51:00,224,1.0955,1,722.81,314.81,-20400,1.0885
2023-04-21 20:08:00,225,1.0980,-1,671.05,275.05,-19800,1.0885
