datetime,count,price,unit,value,cash,posi_value,posi_price
2023-03-01 09:45:00,1,1.0623,-16,1066.00,1066.00,0,0.0000
2023-03-01 09:56:00,2,1.0643,-1,1045.26,853.26,-9600,1.0621
2023-03-01 12:24:00,3,1.0661,-1,1026.51,822.51,-10200,1.0622
2023-03-01 14:28:00,4,1.0681,-1,1004.84,788.84,-10800,1.0624
2023-03-01 17:04:00,5,1.0660,1,1028.33,800.33,-11400,1.0627
2023-03-02 07:49:00,6,1.0639,1,1051.16,835.16,-10800,1.0627
2023-03-02 11:57:00,7,1.0619,1,1070.88,866.88,-10200,1.0627
2023-03-02 15:30:00,8,1.0595,1,1093.92,901.92,-9600,1.0627
2023-03-02 19:52:00,9,1.0579,1,1108.23,928.23,-9000,1.0627
2023-03-02 22:34:00,10,1.0600,-1,1090.87,922.87,-8400,1.0627
2023-03-03 08:51:00,11,1.0620,-1,1072.76,892.76,-9000,1.0625
2023-03-03 17:02:00,12,1.0597,1,1095.22,903.22,-9600,1.0625
2023-03-03 19:11:00,13,1.0621,-1,1073.49,893.49,-9000,1.0625
2023-03-06 04:37:00,14,1.0641,-1,1054.13,862.13,-9600,1.0624
2023-03-06 16:21:00,15,1.0661,-1,1033.33,829.33,-10200,1.0625
2023-03-06 17:14:00,16,1.0680,-1,1012.59,796.59,-10800,1.0627
2023-03-07 11:19:00,17,1.0660,1,1035.73,807.73,-11400,1.0630
2023-03-07 17:00:00,18,1.0626,1,1071.67,855.67,-10800,1.0630
2023-03-07 17:02:00,19,1.0616,1,1082.46,878.46,-10200,1.0630
2023-03-07 17:06:00,20,1.0596,1,1101.08,909.08,-9600,1.0630
2023-03-07 17:54:00,21,1.0579,1,1116.61,936.61,-9000,1.0630
2023-03-07 20:22:00,22,1.0559,1,1133.21,965.21,-8400,1.0630
2023-03-08 04:29:00,23,1.0540,1,1148.01,992.01,-7800,1.0630
2023-03-08 16:50:00,24,1.0560,-1,1133.26,989.26,-7200,1.0630
2023-03-08 17:00:00,25,1.0538,1,1150.63,994.63,-7800,1.0624
2023-03-08 17:24:00,26,1.0564,-1,1131.80,987.80,-7200,1.0624
2023-03-09 03:45:00,27,1.0540,1,1150.43,994.43,-7800,1.0619
2023-03-09 10:39:00,28,1.0561,-1,1134.75,990.75,-7200,1.0619
2023-03-09 13:27:00,29,1.0581,-1,1119.51,963.51,-7800,1.0615
2023-03-09 14:40:00,30,1.0559,1,1137.78,969.78,-8400,1.0612
2023-03-09 16:46:00,31,1.0581,-1,1120.50,964.50,-7800,1.0612
2023-03-10 09:41:00,32,1.0605,-1,1100.27,932.27,-8400,1.0610
2023-03-10 10:17:00,33,1.0579,1,1123.81,943.81,-9000,1.0610
2023-03-10 12:32:00,34,1.0600,-1,1105.97,937.97,-8400,1.0610
2023-03-10 15:30:00,35,1.0625,-1,1083.77,903.77,-9000,1.0609
2023-03-10 15:43:00,36,1.0642,-1,1067.01,875.01,-9600,1.0610
2023-03-10 15:56:00,37,1.0619,1,1089.29,885.29,-10200,1.0611
2023-03-10 16:23:00,38,1.0641,-1,1068.67,876.67,-9600,1.0611
2023-03-10 16:40:00,39,1.0669,-1,1040.00,836.00,-10200,1.0613
2023-03-10 17:05:00,40,1.0681,-1,1026.88,810.88,-10800,1.0616
2023-03-10 18:36:00,41,1.0660,1,1051.17,823.17,-11400,1.0619
2023-03-10 21:18:00,42,1.0639,1,1074.00,858.00,-10800,1.0619
2023-03-13 00:00:00,43,1.0689,-2,1022.29,818.29,-10200,1.0619
2023-03-13 00:08:00,44,1.0702,-1,1007.03,779.03,-11400,1.0626
2023-03-13 00:34:00,45,1.0679,1,1034.57,794.57,-12000,1.0630
2023-03-13 01:10:00,46,1.0701,-1,1009.37,781.37,-11400,1.0630
2023-03-13 01:58:00,47,1.0680,1,1034.78,794.78,-12000,1.0633
2023-03-13 04:30:00,48,1.0701,-1,1010.16,782.16,-11400,1.0633
2023-03-13 04:53:00,49,1.0721,-1,986.60,746.60,-12000,1.0637
2023-03-13 11:02:00,50,1.0698,1,1015.03,763.03,-12600,1.0641
2023-03-13 11:15:00,51,1.0673,1,1045.35,805.35,-12000,1.0641
2023-03-13 13:13:00,52,1.0658,1,1062.06,834.06,-11400,1.0641
2023-03-13 14:35:00,53,1.0682,-1,1036.41,820.41,-10800,1.0641
2023-03-13 15:13:00,54,1.0701,-1,1013.68,785.68,-11400,1.0643
2023-03-13 16:10:00,55,1.0724,-1,987.02,747.02,-12000,1.0646
2023-03-13 16:26:00,56,1.0700,1,1017.14,765.14,-12600,1.0649
2023-03-13 16:45:00,57,1.0722,-1,989.97,749.97,-12000,1.0649
2023-03-13 18:41:00,58,1.0741,-1,965.84,713.84,-12600,1.0652
2023-03-14 02:01:00,59,1.0719,1,995.49,731.49,-13200,1.0656
2023-03-14 04:43:00,60,1.0700,1,1019.02,767.02,-12600,1.0656
2023-03-14 09:45:00,61,1.0679,1,1043.64,803.64,-12000,1.0656
2023-03-14 10:28:00,62,1.0701,-1,1019.08,791.08,-11400,1.0656
2023-03-14 12:59:00,63,1.0720,-1,995.52,755.52,-12000,1.0659
2023-03-14 14:30:00,64,1.0741,-1,969.12,717.12,-12600,1.0661
2023-03-14 14:33:00,65,1.0717,1,1000.58,736.58,-13200,1.0665
2023-03-14 14:53:00,66,1.0745,-1,964.57,712.57,-12600,1.0665
2023-03-14 15:32:00,67,1.0716,1,1003.26,739.26,-13200,1.0669
2023-03-14 15:48:00,68,1.0699,1,1024.92,772.92,-12600,1.0669
2023-03-14 16:07:00,69,1.0722,-1,996.93,756.93,-12000,1.0669
2023-03-14 19:42:00,70,1.0740,-1,973.32,721.32,-12600,1.0671
2023-03-15 11:10:00,71,1.0718,1,1002.67,738.67,-13200,1.0674
2023-03-15 11:33:00,72,1.0699,1,1026.96,774.96,-12600,1.0674
2023-03-15 11:40:00,73,1.0680,1,1049.53,809.53,-12000,1.0674
2023-03-15 12:33:00,74,1.0658,1,1074.11,846.11,-11400,1.0674
2023-03-15 12:38:00,75,1.0632,1,1102.17,886.17,-10800,1.0674
2023-03-15 13:06:00,76,1.0618,1,1116.38,912.38,-10200,1.0674
2023-03-15 13:21:00,77,1.0592,1,1141.42,949.42,-9600,1.0674
2023-03-15 14:08:00,78,1.0576,1,1155.44,975.44,-9000,1.0674
2023-03-15 14:59:00,79,1.0557,1,1171.81,1003.81,-8400,1.0674
